service_bulletin_model_id,allocation_id,service_bulletin_id,sb_reference,sb_title,raw_models_affected_text,parsed_token,expanded_token,linked_model_code,linked_model_name,allocation_status,has_procedure_words,has_date,has_ad_like_number,has_part_kit_like_value,not_safely_inferable,recommended_action
"d911df9b-c874-4d66-8541-a044ed9e8346","1a2219b1-84df-4d53-adba-598c2c50a0d0","c70dc276-f6a0-40a8-a8a4-32cfd4edc8a8","1006B","Wing Spar and Attach Fittings Corrosion Inspection","PA-28-140 PA-28-150/160/180 PA-28-151 PA-28-161 Warrior II & III PA-28-161 Cadet PA-28-181 Archer II & III PA-28-181 Pilot 100i PA-28-235 PA-28-236 PA-28-201T PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T","PA-28-140 PA-28-150/160/180 PA-28-151 PA-28-161 Warrior II & III PA-28-161 Cadet PA-28-181 Archer II & III PA-28-181 Pilot 100i PA-28-235 PA-28-236 PA-28-201T PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T","PA-28-150","PA-28-150","PA-28-150","MATCHED","false","false","false","false","false","SAFE_KEEP"
"797a2e2d-d3c8-4d31-ba1c-49fbac13b115","1a2219b1-84df-4d53-adba-598c2c50a0d0","c70dc276-f6a0-40a8-a8a4-32cfd4edc8a8","1006B","Wing Spar and Attach Fittings Corrosion Inspection","PA-28-140 PA-28-150/160/180 PA-28-151 PA-28-161 Warrior II & III PA-28-161 Cadet PA-28-181 Archer II & III PA-28-181 Pilot 100i PA-28-235 PA-28-236 PA-28-201T PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T","PA-28-140 PA-28-150/160/180 PA-28-151 PA-28-161 Warrior II & III PA-28-161 Cadet PA-28-181 Archer II & III PA-28-181 Pilot 100i PA-28-235 PA-28-236 PA-28-201T PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T","PA-28-160","PA-28-160","PA-28-160","MATCHED","false","false","false","false","false","SAFE_KEEP"
"593e94a3-d65a-4d34-a952-091afe0f4dd4","1a2219b1-84df-4d53-adba-598c2c50a0d0","c70dc276-f6a0-40a8-a8a4-32cfd4edc8a8","1006B","Wing Spar and Attach Fittings Corrosion Inspection","PA-28-140 PA-28-150/160/180 PA-28-151 PA-28-161 Warrior II & III PA-28-161 Cadet PA-28-181 Archer II & III PA-28-181 Pilot 100i PA-28-235 PA-28-236 PA-28-201T PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T","PA-28-140 PA-28-150/160/180 PA-28-151 PA-28-161 Warrior II & III PA-28-161 Cadet PA-28-181 Archer II & III PA-28-181 Pilot 100i PA-28-235 PA-28-236 PA-28-201T PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T","PA-28-180","PA-28-180","PA-28-180","MATCHED","false","false","false","false","false","SAFE_KEEP"
"23047352-9f04-4984-98a5-6a2f1e12ede4","7af57494-6388-4f83-833d-4d3363c9167c","74f32b93-9dcc-4d7e-b802-c59335583db3","1021","Modification of Control Wheel Quadrant Stop and Inspection of Forward Pressure Bulkhead","PA-46-310P PA-46-350P","PA-46-310P PA-46-350P","PA-46-310P","PA-46-310P","Malibu","MATCHED","false","false","false","false","false","SAFE_KEEP"
"c21509af-a4e3-423b-8301-54784b4060a0","7af57494-6388-4f83-833d-4d3363c9167c","74f32b93-9dcc-4d7e-b802-c59335583db3","1021","Modification of Control Wheel Quadrant Stop and Inspection of Forward Pressure Bulkhead","PA-46-310P PA-46-350P","PA-46-310P PA-46-350P","PA-46-350P","PA-46-350P","M350 / Mirage","MATCHED","false","false","false","false","false","SAFE_KEEP"
"c206809a-76ad-421f-99f0-9ffe47718df3","f908d321-390d-4d26-b575-b049690bf66b","7978d476-0b25-49e3-b1b5-594ebb643961","1022","Inspection of Induction Air Filter and Distribution of Purolator , SB090298.01","PA-23-235 PA-23-250","PA-23-235 PA-23-250","PA-23-235","PA-23-235","Apache","MATCHED","false","false","false","false","false","SAFE_KEEP"
"68b256e2-abe0-48bc-9602-01702704e664","f908d321-390d-4d26-b575-b049690bf66b","7978d476-0b25-49e3-b1b5-594ebb643961","1022","Inspection of Induction Air Filter and Distribution of Purolator , SB090298.01","PA-23-235 PA-23-250","PA-23-235 PA-23-250","PA-23-250","PA-23-250","Apache","MATCHED","false","false","false","false","false","SAFE_KEEP"
"1b331c94-167d-4634-ac05-c36f4d278049","7d6fc6d9-e42c-46b8-9635-b36c2eb01edf","2b15285a-7d42-4c1c-855e-e16c0ea5a2e1","1023","Inspection of Landing Gear Cylinders and Distribution of Parker Hannifin SB7063","PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T PA-44-180 PA-44-180T","PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T PA-44-180 PA-44-180T","PA-28R-180","PA-28R-180","PA-28R-180","MATCHED","false","false","false","false","false","SAFE_KEEP"
"849df5b0-5760-4b58-a4da-f27f49483731","7d6fc6d9-e42c-46b8-9635-b36c2eb01edf","2b15285a-7d42-4c1c-855e-e16c0ea5a2e1","1023","Inspection of Landing Gear Cylinders and Distribution of Parker Hannifin SB7063","PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T PA-44-180 PA-44-180T","PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T PA-44-180 PA-44-180T","PA-28R-200","PA-28R-200","PA-28R-200","MATCHED","false","false","false","false","false","SAFE_KEEP"
"b650e0ec-9807-478c-9afd-6807ccc0fb23","7d6fc6d9-e42c-46b8-9635-b36c2eb01edf","2b15285a-7d42-4c1c-855e-e16c0ea5a2e1","1023","Inspection of Landing Gear Cylinders and Distribution of Parker Hannifin SB7063","PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T PA-44-180 PA-44-180T","PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T PA-44-180 PA-44-180T","PA-28R-201","PA-28R-201","Arrow","MATCHED","false","false","false","false","false","SAFE_KEEP"
"ec968936-d891-454f-b498-c34f9a06fa65","7d6fc6d9-e42c-46b8-9635-b36c2eb01edf","2b15285a-7d42-4c1c-855e-e16c0ea5a2e1","1023","Inspection of Landing Gear Cylinders and Distribution of Parker Hannifin SB7063","PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T PA-44-180 PA-44-180T","PA-28R-180 PA-28R-200 PA-28R-201 PA-28R-201T PA-28RT-201 PA-28RT-201T PA-44-180 PA-44-180T","PA-28R-201T","PA-28R-201T","PA-28R-201T","MATCHED","false","false","false","false","false","SAFE_KEEP"
